Compound,Structure,Class,Aglycon,220_nm,221_nm,222_nm,223_nm,224_nm,225_nm,226_nm,227_nm,228_nm,229_nm,230_nm,231_nm,232_nm,233_nm,234_nm,235_nm,236_nm,237_nm,238_nm,239_nm,240_nm,241_nm,242_nm,243_nm,244_nm,245_nm,246_nm,247_nm,248_nm,249_nm,250_nm,251_nm,252_nm,253_nm,254_nm,255_nm,256_nm,257_nm,258_nm,259_nm,260_nm,261_nm,262_nm,263_nm,264_nm,265_nm,266_nm,267_nm,268_nm,269_nm,270_nm,271_nm,272_nm,273_nm,274_nm,275_nm,276_nm,277_nm,278_nm,279_nm,280_nm,281_nm,282_nm,283_nm,284_nm,285_nm,286_nm,287_nm,288_nm,289_nm,290_nm,291_nm,292_nm,293_nm,294_nm,295_nm,296_nm,297_nm,298_nm,299_nm,300_nm,301_nm,302_nm,303_nm,304_nm,305_nm,306_nm,307_nm,308_nm,309_nm,310_nm,311_nm,312_nm,313_nm,314_nm,315_nm,316_nm,317_nm,318_nm,319_nm,320_nm,321_nm,322_nm,323_nm,324_nm,325_nm,326_nm,327_nm,328_nm,329_nm,330_nm,331_nm,332_nm,333_nm,334_nm,335_nm,336_nm,337_nm,338_nm,339_nm,340_nm,341_nm,342_nm,343_nm,344_nm,345_nm,346_nm,347_nm,348_nm,349_nm,350_nm,351_nm,352_nm,353_nm,354_nm,355_nm,356_nm,357_nm,358_nm,359_nm,360_nm,361_nm,362_nm,363_nm,364_nm,365_nm,366_nm,367_nm,368_nm,369_nm,370_nm,371_nm,372_nm,373_nm,374_nm,375_nm,376_nm,377_nm,378_nm,379_nm,380_nm,381_nm,382_nm,383_nm,384_nm,385_nm,386_nm,387_nm,388_nm,389_nm,390_nm,391_nm,392_nm,393_nm,394_nm,395_nm,396_nm,397_nm,398_nm,399_nm,400_nm,401_nm,402_nm,403_nm,404_nm,405_nm,406_nm,407_nm,408_nm,409_nm,410_nm,411_nm,412_nm,413_nm,414_nm,415_nm,416_nm,417_nm,418_nm,419_nm,420_nm,421_nm,422_nm,423_nm,424_nm,425_nm,426_nm,427_nm,428_nm,429_nm,430_nm,431_nm,432_nm,433_nm,434_nm,435_nm,436_nm,437_nm,438_nm,439_nm,440_nm,441_nm,442_nm,443_nm,444_nm,445_nm,446_nm,447_nm,448_nm,449_nm,450_nm
FL01,C1(CCCO2)=C2C=CC=C1,chromane,aglycon,4402.7,4225.9,4049.3,3859.7,3678,3514.1,3336.4,3125.3,2888.4,2631.8,2349.7,2058.2,1772.6,1500.2,1263.9,1074,928.53,827.61,760.98,719.75,696.4,687.51,689.75,700.54,718.57,740.82,766.65,795.11,824.07,854.93,886.1,919.31,954.25,990.57,1027.8,1063.9,1098.4,1132.1,1163.6,1193.5,1221.7,1246.2,1271.4,1295.9,1326,1363.4,1402,1439.2,1467.8,1484.6,1495.7,1505.3,1524.1,1551.7,1582.9,1600,1596.5,1576.3,1533.8,1461.7,1380.8,1321.9,1309.7,1321.1,1277.8,1138.8,944.83,759.3,612.88,506.11,429.85,375.03,335.31,308.01,290.33,279.67,272.66,269.38,266.33,262.58,257.83,253.35,248.93,244.75,241.33,239.3,237.23,236.37,234.56,234.01,232.74,230.92,229.07,227.54,224.95,222.6,220.42,217.43,215.26,212.64,209.07,205.02,200.62,196.18,191.24,186.58,181,174.88,168.82,162.53,156.8,151.02,145.14,139.33,133.26,127.92,122.3,117.47,112.58,107.31,102.24,97.828,93.831,89.822,85.595,82.006,78.386,75.231,72.245,69.208,66.162,63.117,60.441,57.776,56.132,53.379,50.692,48.456,45.708,43.938,43.139,41.209,38.46,35.954,34.646,33.089,31.693,30.092,27.87,26.708,25.454,24.843,22.89,21.169,19.705,19.377,18.229,18.158,16.811,15.699,14.743,15.068,14.861,13.31,13.001,12.688,12.065,11.973,11.87,11.928,11.123,10.508,9.8354,9.0624,8.782,8.9515,9.3648,8.6564,8.2102,7.7322,8.2309,7.3787,6.5898,7.364,7.2567,7.3591,7.1775,6.4813,6.2094,6.3118,6.2021,6.2899,6.8715,5.7168,5.0341,4.4208,4.8975,5.0816,5.8034,5.9973,5.084,4.8085,5.1682,4.6719,4.8146,5.2499,5.1133,5.0414,4.9597,4.6549,4.4013,5.2316,4.7817,4.3403,4.4549,4.6512,3.6112,3.9623,3.9977,3.8368,4.8292,3.9855,3.2649,3.2918,3.2479,3.2881,3.0967,2.9979,3.1113,2.9735,2.5444
FL02,CC1=CC=CC2=C1OCCC2,chromane,aglycon,7212.8,6926.2,6625.7,6261.8,5900.2,5541.7,5183.3,4772,4355,3924.6,3451.9,2763.4,2113.9,1525.4,1083.4,710.71,476.25,291.71,215.63,163.84,139.84,119.32,107.56,108.27,113.3,104.84,97.262,95.011,98.137,106.85,117.88,132.09,149.59,177.02,204.06,237.8,278.35,323.05,374.15,433.77,500.51,577.18,660.71,739,816.04,897.51,983.56,1078.6,1180.3,1283.3,1393.1,1505.6,1633.8,1796.5,1875.4,1874.7,1824.3,1807.7,1808.8,1765.1,1684,1674.4,1809.7,2180,1979.9,1616.3,1235.9,866.66,537.58,335.57,221.63,159.93,119,88.201,65.575,48.85,34.081,23.676,16.06,12.127,9.2529,6.687,5.9312,5.1777,4.4266,3.4475,2.7027,2.6507,2.6007,2.5616,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298
FL03,CC1(C)CCC2=C(O1)C=CC=C2,chromane,aglycon,7212.8,6926.2,6625.7,6261.8,5900.2,5541.7,5183.3,4772,4355,3924.6,3451.9,2763.4,2113.9,1525.4,1083.4,710.71,476.25,291.71,215.63,163.84,139.84,119.32,107.56,108.27,113.3,120.07,131.97,144.21,159.96,178.37,196.77,222.2,251.08,279.97,308.85,350.62,392.38,439,500.19,561.38,623.5,708.09,792.67,877.26,980.06,1091.4,1202.8,1318.3,1437.3,1556.2,1678.3,1814.7,1951.1,2062.1,2173.1,2285.2,2351.9,2301.7,2165.3,1958.1,1809.3,1726.7,1789.9,2025.5,2327.4,2500,2003.1,1066.2,525.73,321.32,206.7,145.91,110.02,89.004,77.003,65.003,34.081,23.676,16.06,12.127,9.2529,6.687,5.9312,5.1777,4.4266,3.4475,2.7027,2.6507,2.6007,2.5616,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298,2.5298
FL04,O=C1CCOC2=C1C=CC=C2,chromanone,aglycon,12717,11025,9170.5,7296.8,5594.4,4199.7,3243.7,2665,2344.2,2192.9,2148.1,2175.8,2263.7,2394.9,2575.5,2793.7,3063.2,3375.9,3719,4087,4470,4862.1,5276.9,5703.3,6127.6,6516.6,6849.5,7103.6,7274,7391.6,7469.7,7500,7468.6,7350.9,7126.4,6783.1,6335.4,5818,5267.7,4719.5,4178.8,3649.9,3134.8,2621.4,2136.5,1692.6,1313,1007.8,765.2,585.74,453.74,359.2,300.28,263.57,245.94,241.6,243.5,247.88,260.17,279.49,302.67,328.77,359.06,393.77,435.03,476.42,520.89,567.3,619.27,678.44,741.66,809.47,878.19,950.79,1024,1106.6,1194.4,1282.7,1377.6,1467.5,1560.1,1655.7,1758.3,1864.9,1970,2073.7,2172.1,2269.9,2364.5,2464.8,2559.9,2642,2712.7,2780,2837.7,2881.8,2915.8,2947.3,2974.1,2991.5,3003.4,2998.8,2983.3,2959.2,2917.6,2862.4,2790.9,2696.7,2586.4,2469.9,2337.3,2209.7,2075.9,1948.6,1819.8,1698.4,1576.8,1463.4,1353.3,1248.2,1143.4,1038.7,933.35,833.04,735.01,638.39,551.13,467.28,393.43,328.84,271.05,223.05,179.48,150.98,127.76,109.14,87.068,72.667,56.579,49.716,44.677,44.385,40.313,32.333,28.98,21.534,21.128,24.645,20.559,24.823,16.131,12.65,12.28,11.077,9.518,11.732,16.117,19.676,18.267,15.248,8.4431,11.376,12.052,13.533,14.323,12.216,9.0126,9.5678,9.1763,13.583,16.786,15.74,11.903,3.4743,8.5854,9.397,13.782,17.804,14.672,7.8807,9.8597,10.344,14.309,12.216,9.8383,15.697,13.504,9.0695,4.5848,8.8346,11.518,16.088,18.509,14.999,11.184,5.6953,8.799,10.18,12.102,14.437,13.163,13.704,12.593,10.636,12.358,15.519,16.601,9.817,7.8166,10.201,13.497,15.932,12.088,12.294,19.527,15.135,13.241,13.725,15.604,15.476,17.071,14.551,11.639,11.953,16.793,14.23,17.804,16.031,18.139,16.85,11.853
FL05,O=C1C=COC2=C1C=CC=C2,chromanone,aglycon,13124,12964,12643,12150,11592,11034,10543,10021,9390.6,8743.6,8167.3,7712.9,7389.9,7171.6,7061.3,7031.4,7065.7,7127.7,7180.3,7200,7181.1,7138.3,7087.5,7025,6940,6836.1,6693.6,6483.5,6188.7,5834.2,5469.1,5119.2,4806.1,4534.2,4300.5,4088.9,3870.6,3631.5,3375.5,3122.4,2895.4,2702.1,2527.7,2346.9,2165.4,1982.9,1822.1,1687.3,1586.1,1513,1470.4,1462.8,1477.6,1523.5,1586.2,1671.6,1775.4,1898.4,2040.3,2192.5,2355.7,2528.2,2704.4,2883.6,3066,3250.1,3438.2,3636.1,3847.7,4061.7,4264.7,4450.1,4621.8,4766,4885.1,4979.1,5041.6,5062,5043.2,4998,4975.3,4988.7,4972.4,4866.7,4701.9,4524.8,4333.1,4071.1,3703.9,3247.2,2746.8,2249.4,1810.2,1434.3,1122.7,879.93,687.18,531.74,414.04,323.82,254.52,207.21,170.02,139.45,121.92,105.43,93.033,83.209,79.667,71.326,67.752,64.453,60.522,61.478,57.734,55.383,51.209,49.036,48.558,49.409,49.336,48.355,48.347,45.429,47.131,45.591,45.543,48.89,46.11,48.663,44.87,46.37,43.687,41.733,45.421,42.9,46.799,43.792,40.185,39.869,41.62,43.038,39.593,35.719,36.043,41.62,37.064,39.107,35.735,35.678,32.785,32.29,33.611,29.542,28.781,32.979,30.531,25.927,30.807,27.565,25.887,26.187,27.978,26.292,25.83,22.442,19.151,20.424,20.829,27.168,21.267,21.518,18.219,19.54,21.145,22.531,17.344,14.037,15.431,18.195,15.147,17.952,18.373,16.022,18.535,17.579,14.936,12.399,12.642,18.097,11.905,11.232,11.848,18.008,13.356,12.018,11.281,11.135,16.16,16.014,15.261,16.574,17.052,19.257,16.663,14.539,12.683,15.309,17.109,14.653,9.9514,16.493,16.801,16.322,15.949,15.836,16.501,17.96,13.68,14.418,19.905,12.602,15.795,16.744,19.638,13.396,16.938,16.687,17.838,17.822,21.858
FL06,O=C1C2=C(C=CC=C2)OC(C)=C1,chromanone,aglycon,20304,20693,20913,21000,20785,20258,19509,18454,17305,16084,14877,13635,12210,11028,10252,9591.1,9166.1,8915.2,8823.7,8746.8,8718.7,8693.4,8680.3,8667.1,8640.2,8592,8511.8,8395.9,8232.6,8069.3,7893.2,7715.3,7554.3,7407.7,7261.1,7126.5,6997,6879.3,6781.6,6684.7,6632,6579.3,6516.5,6414.7,6178.7,5696.1,5160.6,4608.4,4079,3630.2,3309.2,3174.6,3078.5,3035.7,3080.6,3156.2,3261,3371.5,3502,3666.8,3885.5,4150,4489.1,4830,5150.6,5467.3,5733.4,5999.5,6224.8,6435.1,6627.9,6779.9,6918.8,7042.9,7134.8,7219.6,7243.3,7189,7134.7,7080.3,7035.3,6960.4,6778,6528,6220.6,5838.3,5419.4,4854,4251.6,3545.4,2708.7,2208.9,1769.4,1381.2,1054.5,790.6,651.21,520.01,439.09,361,320.62,280.24,248.84,221.29,193.74,162.64,129.72,114.46,101.15,90.712,80.823,76.591,72.36,67.78,63.003,55.273,44.705,38.636,35.219,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6
FL07,O=C1C2=C(C=CC=C2)OC(CO)=C1,chromanone,aglycon,20304,20693,20913,21000,19478,19196,18914,18551,17932,16280,13209,11484,10816,10254,9832.9,9547.7,9279.5,9115.2,8950.9,8860,8793.7,8727.3,8661,8614.3,8571.1,8527.9,8475.8,8397.2,8318.6,8213.5,8059.1,7904.7,7768.1,7634.4,7500.7,7358.5,7201.4,7044.2,6834.1,6607.4,6366.6,6123.7,5846.1,5542.4,5198.1,4841.7,4320.7,3864.7,3447.1,3131.1,2898.3,2784.7,2746.7,2729.7,2772.9,2855.5,2966.5,3107.3,3296.9,3486.5,3705.5,3928.6,4151.7,4409.2,4671.3,4933.5,5188.1,5437.2,5686.3,5935.4,6154.2,6372.7,6591.2,6796.4,6992.3,7188.2,7342.5,7478.1,7557.9,7599,7583.5,7511.4,7350.5,7130.4,6743.2,6251.2,5612.6,4683,3871.8,3205.9,2687.9,2199.2,1746.4,1425.4,1155.2,933.74,651.21,520.01,439.09,361,320.62,280.24,248.84,221.29,193.74,162.64,129.72,114.46,101.15,90.712,80.823,76.591,72.36,67.78,63.003,55.273,44.705,38.636,35.219,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6
FL08,O=C1C2=C(C=CC=C2)OC=C1O,chromanone,aglycon,11356,12038,12755,13506,14223,14923,15593,16189,16705,17118,17500,17830,18099,18150,17960,17448,16817,16070,15317,14566,13850,13133,12319,11452,10557,9661.8,8792.3,7925.2,7073,6277.3,5507.3,4946.6,4455.7,4075.2,3803,3569.5,3382.1,3216.4,3077.2,2961.3,2873.9,2817.3,2787.1,2771.7,2765,2758.4,2758,2762.5,2766.9,2769.8,2771.8,2773.8,2778.1,2787.2,2798.5,2818.7,2834.2,2846.1,2811.8,2768.7,2700.6,2621.9,2534.9,2449.2,2368,2292.1,2253.4,2248.4,2282,2382.5,2508.3,2648.5,2798.7,2948.9,3099.1,3262.1,3428.2,3594.2,3760.2,3926.7,4093.2,4259.7,4426.3,4591.2,4755.9,4920.6,5038.8,5138,5237.2,5333.5,5400.7,5467.8,5534.9,5588.1,5640.9,5680.9,5719.2,5685.7,5631,5549.3,5438.1,5318.7,5179,5040.5,4905.6,4765.2,4596.2,4427.1,4233.1,3990.6,3748.9,3518.2,3256.2,2949.3,2640.8,2327,2013.1,1708.5,1409.4,1175.8,964.28,788,635.1,513.11,411.99,339.08,276.14,236.48,196.82,167.73,156.64,145.55,134.46,123.38,112.29,101.2,94.672,91.588,88.503,85.418,82.333,79.248,76.163,73.078,69.994,66.909,63.824,61.969,60.402,58.835,57.268,55.702,54.135,52.568,51.001,49.435,47.868,46.301,44.734,43.515,42.444,41.373,40.302,39.231,38.16,37.106,36.096,35.086,34.075,33.065,32.055,31.045,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833,30.833
FL09,C1(C2=CC=CC=C2)CCC3=C(O1)C=CC=C3,flavan,aglycon,7395.2,7212,7016.5,6786,6603.7,6438.4,6253.1,6037.8,5783.8,5475.3,5097.9,4616.9,4033,3362,2690.1,2064.5,1549.3,1142.4,845.93,643.58,507.61,421.25,365.93,331.71,317.57,318.88,328.74,338.84,350.05,371.08,407.97,450.92,479.33,499.18,529.39,577.12,647.54,724.94,771.15,805.26,855.15,918.14,992.31,1091.9,1171.4,1241.4,1326.5,1417.7,1490.9,1551.1,1620.7,1714.7,1834.6,1959,2054,2100,2094.6,2033.9,1918.4,1788.5,1731.6,1820.3,2002.7,2050,1785.3,1313.4,854.06,520.8,313.98,193.18,121.25,78.449,51.93,35.461,25.182,18.351,13.742,10.851,8.966,7.7246,7.1929,6.8763,6.274,6.2799,6.4154,6.2063,6.3049,6.6171,6.3138,6.1901,6.4006,6.5538,6.6775,6.436,6.2342,6.3373,6.0251,6.2269,6.0693,6.3815,6.0855,5.8852,5.8911,6.0619,5.8808,6.1194,6.2387,5.8425,5.8617,5.9456,5.7453,5.4655,5.6849,5.4375,5.5274,5.5627,5.2903,5.0163,5.4611,5.5141,4.9398,5.2903,5.2181,5.2785,5.3035,5.3506,5.4552,5.3124,5.4743,5.4537,5.5804,5.682,5.3801,5.52,5.7924,5.8366,5.7159,5.7306,5.6584,5.7998,5.5553,5.383,5.5023,5.3477,5.1386,5.6481,5.6422,6.0899,5.8248,5.9868,5.8513,6.3962,6.2225,6.2063,6.5096,6.6539,6.7703,6.6672,6.6245,6.6039,6.7291,6.9367,6.9986,6.841,7.3667,7.0339,6.7423,7.4639,7.5817,6.9264,6.9176,6.8778,8.0088,6.4684,7.1443,7.3756,7.6819,7.7746,7.3535,6.894,7.8115,7.7305,7.4212,7.4374,7.9514,7.6127,6.5597,7.3417,7.7187,7.1723,6.8277,7.3785,7.408,7.0044,6.9338,7.0575,7.1311,7.003,6.8645,6.9264,7.2033,7.3859,6.3756,6.4654,6.7364,6.0251,6.2873,6.3403,5.5818,6.4978,5.5863,5.0281,5.5126,5.8381,5.3006,5.1342,5.5362,4.794,4.7851,4.3183,4.8514,5.1695,4.5304,4.9854,3.8367,3.9442,4.2388,3.448,3.6438,4.09,3.7219
FL10,C1(CCC(C2=CC=CC=C2)(C3=CC=CC=C3)O4)=C4C=CC=C1,flavan,aglycon,4402.7,4225.9,4049.3,3859.7,3678,3514.1,3336.4,3125.3,2888.4,2631.8,2349.7,2058.2,1772.6,1500.2,1263.9,1074,928.53,827.61,760.98,719.75,696.4,687.51,689.75,700.54,718.57,740.82,766.65,795.11,824.07,854.93,1072.1,1080.1,1088.1,1096,1114.3,1135.4,1156.4,1190.3,1229.7,1270,1330.7,1391.5,1452.8,1522.7,1592.6,1662.5,1735,1811.4,1887.8,1964.2,2056.9,2154.8,2252.6,2350.5,2443.8,2537.1,2630.4,2675.3,2700.1,2619,2444.1,2277.4,2250,2360.5,2538.5,2589.4,2483.8,2015.5,1407.4,985.49,667.22,433.76,213.09,107.49,94.965,54.832,36.059,22.057,19.19,16.322,13.455,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588,10.588
